# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
#[BULBASAUR]
#Name = Bulbasaur
#Types = GRASS,POISON
#BaseStats = 45,49,49,45,65,65
#GenderRatio = FemaleOneEighth
#GrowthRate = Parabolic
#BaseExp = 64
#EVs = SPECIAL_ATTACK,1
#CatchRate = 45
#Happiness = 50
#Abilities = OVERGROW
#HiddenAbilities = CHLOROPHYLL
#Moves = 1,TACKLE,1,GROWL,3,VINEWHIP,6,GROWTH,9,LEECHSEED,12,RAZORLEAF,15,POISONPOWDER,15,SLEEPPOWDER,18,SEEDBOMB,21,TAKEDOWN,24,SWEETSCENT,27,SYNTHESIS,30,WORRYSEED,33,DOUBLEEDGE,36,SOLARBEAM
#TutorMoves = AMNESIA,ATTRACT,BODYSLAM,BULLETSEED,CHARM,CUT,DOUBLETEAM,ENDURE,ENERGYBALL,FACADE,FALSESWIPE,FLASH,GIGADRAIN,GRASSKNOT,GRASSPLEDGE,GRASSYGLIDE,GRASSYTERRAIN,HELPINGHAND,HIDDENPOWER,LEAFSTORM,LIGHTSCREEN,MAGICALLEAF,POWERWHIP,PROTECT,REST,ROCKSMASH,ROUND,SAFEGUARD,SEEDBOMB,SLEEPTALK,SLUDGEBOMB,SNORE,SOLARBEAM,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,SWORDSDANCE,TOXIC,VENOSHOCK,WEATHERBALL,WORKUP
#EggMoves = AMNESIA,CHARM,CURSE,GRASSYTERRAIN,INGRAIN,LEAFSTORM,MAGICALLEAF,NATUREPOWER,PETALDANCE,POWERWHIP,SKULLBASH,SLUDGE
##EggGroups = Monster,Grass
#HatchSteps = 5120
#Height = 0.7
#Weight = 6.9
#Color = Green
#Shape = Quadruped
#Habitat = Grassland
#Category = Seed
#Pokedex = Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.
#Generation = 1
#Evolutions = IVYSAUR,Level,16
#-------------------------------
[MOLLUCOTTA]
Moves = 1,TACKLE,1,VINEWHIP,1,FAIRYWIND,6,FAIRYWIND,10,LUCKYCHANT,15,RAZORLEAF,20,WISH,25,MAGICALLEAF,27,GRASSYTERRAIN,33,PETALBLIZZARD,38,AROMATHERAPY,43,MISTYTERRAIN,46,MOONBLAST,51,PETALDANCE,58,SOLARBEAM
TutorMoves = ALLYSWITCH,ATTRACT,CALMMIND,DAZZLINGGLEAM,DOUBLETEAM,ENERGYBALL,FACADE,GRASSKNOT,HELPINGHAND,HIDDENPOWER,PROTECT,PSYCHIC,RAINDANCE,REST,RETURN,ROUND,SAFEGUARD,SLEEPTALK,SOLARBEAM,SUBSTITUTE,SUNNYDAY,SWAGGER,TOXIC
EggGroups = Fairy
HatchSteps = 5120
Height = 0.2
Weight = 0.9
Color = White
Shape = HeadArms
Category = Single Bloom
Pokedex = Digestte is often mistaken for a normal flower until the stomach squirm around. People fear them for their cruelty.
FormName = Red Flower
Generation = 6
Evolutions = FLORGES,Item,SHINYSTONE
#-------------------------------
[FLORGES]
Name = Flonges
Types = FAIRY
BaseStats = 78,65,68,75,112,154
GenderRatio = AlwaysFemale
GrowthRate = Medium
BaseExp = 248
EVs = SPECIAL_DEFENSE,3
CatchRate = 45
Happiness = 70
Abilities = FLOWERVEIL
HiddenAbilities = SYMBIOSIS
Moves = 1,DISARMINGVOICE,1,LUCKYCHANT,1,WISH,1,MAGICALLEAF,1,FLOWERSHIELD,1,GRASSKNOT,1,GRASSYTERRAIN,1,PETALBLIZZARD,1,MISTYTERRAIN,1,MOONBLAST,1,PETALDANCE,1,AROMATHERAPY
TutorMoves = ALLYSWITCH,ATTRACT,CALMMIND,DAZZLINGGLEAM,DEFOG,DOUBLETEAM,ENERGYBALL,FACADE,GIGAIMPACT,GRASSKNOT,HELPINGHAND,HIDDENPOWER,HYPERBEAM,LIGHTSCREEN,PROTECT,PSYCHIC,RAINDANCE,REST,RETURN,ROUND,SAFEGUARD,SLEEPTALK,SOLARBEAM,SUBSTITUTE,SUNNYDAY,SWAGGER,TOXIC
EggGroups = Fairy
HatchSteps = 5120
Height = 1.1
Weight = 10.0
Color = White
Shape = HeadArms
Category = Garden
Pokedex = Often known as the "Couldent come up with anything funi, come back later", Flonges are powerful and filled with revenge on all flowers.
FormName = Red Flower
Generation = 6
#-------------------------------
[LEDYBA]
Name = Ladybro
Types = BUG,FLYING
BaseStats = 40,40,30,55,20,80
GenderRatio = Female50Percent
GrowthRate = Fast
BaseExp = 53
EVs = SPECIAL_DEFENSE,1
CatchRate = 255
Happiness = 70
Abilities = SWARM,RATTLED
HiddenAbilities = VICTORYSTAR
Moves = 1,TACKLE,5,SUPERSONIC,8,SWIFT,12,LIGHTSCREEN,12,REFLECT,12,SAFEGUARD,15,MACHPUNCH,19,BUGBITE,22,COMETPUNCH,26,BATONPASS,29,AGILITY,33,LUNGE,36,ACROBATICS,40,DRAINPUNCH
TutorMoves = ACROBATICS,AERIALACE,ATTRACT,BRICKBREAK,DOUBLETEAM,FACADE,LIGHTSCREEN,REFLECT,SAFEGUARD,SOLARBEAM,SUBSTITUTE,SUNNYDAY,SWAGGER,SWORDSDANCE,THIEF,UTURN,PAYDAY
EggMoves = BIDE,BUGBITE,BUGBUZZ,COUNTER,DIZZYPUNCH,DRAINPUNCH,ENCORE,ENDURE,FOCUSPUNCH,KNOCKOFF,PSYBEAM,SCREECH,SILVERWIND,TAILWIND
EggGroups = Bug
HatchSteps = 3840
Height = 1.0
Weight = 10.8
Color = Red
Shape = Winged
Habitat = Forest
Category = Five Star
Pokedex = Thousands of Ladybro migrate to Mazah during the winter for the fashion. They may steal an hat or bow. 
Generation = 2
Evolutions = LEDIAN,Level,23
#-------------------------------
[LEDIAN]
Name = Lebuffo
Types = BUG,FIGHTING
BaseStats = 55,80,50,85,45,100
GenderRatio = Female50Percent
GrowthRate = Fast
BaseExp = 137
EVs = SPECIAL_DEFENSE,2
CatchRate = 90
Happiness = 70
Abilities = SWARM,IRONFIST
HiddenAbilities = VICTORYSTAR
Moves = 0,POWERUPPUNCH,1,TACKLE,1,SUPERSONIC,1,SWIFT,5,SUPERSONIC,8,SWIFT,12,LIGHTSCREEN,12,REFLECT,12,SAFEGUARD,15,MACHPUNCH,20,BUGBITE,24,COMETPUNCH,29,BATONPASS,33,AGILITY,38,LUNGE,42,ACROBATICS,47,DRAINPUNCH,55,FIRSTIMPRESSION,70,CLOSECOMBAT
TutorMoves = BULKUP,ACROBATICS,AERIALACE,ATTRACT,BRICKBREAK,DEFOG,DOUBLETEAM,FACADE,FOCUSBLAST,LIGHTSCREEN,REFLECT,SAFEGUARD,SOLARBEAM,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,SWORDSDANCE,THIEF,UTURN,PAYDAY
EggGroups = Bug
HatchSteps = 3840
Height = 1.4
Weight = 35.6
Color = Red
Shape = Winged
Habitat = Forest
Category = Five Star
Pokedex = Lebuffo can attack extremely swiftly with its powerful fists. Some Ledian have cool buff bows that has attack+ effect. Kidding, its just cute.
Generation = 2
#-------------------------------
[SUNKERN]
Name = Kernel
Types = GRASS
BaseStats = 30,30,30,30,30,30
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 36
EVs = SPECIAL_ATTACK,1
CatchRate = 235
Happiness = 70
Abilities = CHLOROPHYLL,SOLARPOWER
HiddenAbilities = EARLYBIRD
Moves = 1,ABSORB,1,GROWTH,4,INGRAIN,7,GRASSWHISTLE,10,MEGADRAIN,13,LEECHSEED,16,RAZORLEAF,19,WORRYSEED,22,GIGADRAIN,25,ENDEAVOR,28,SYNTHESIS,31,NATURALGIFT,34,SOLARBEAM,37,DOUBLEEDGE,40,SUNNYDAY,43,SEEDBOMB
TutorMoves = ATTRACT,CUT,DOUBLETEAM,ENERGYBALL,FACADE,GRASSKNOT,HELPINGHAND,HIDDENPOWER,LIGHTSCREEN,PROTECT,REST,RETURN,ROUND,SAFEGUARD,SLEEPTALK,SLUDGEBOMB,SOLARBEAM,SUBSTITUTE,SUNNYDAY,SWAGGER,SWORDSDANCE,TOXIC
EggMoves = BIDE,CURSE,ENCORE,ENDURE,GRASSWHISTLE,GRASSYTERRAIN,HELPINGHAND,INGRAIN,LEECHSEED,MORNINGSUN,NATURALGIFT,NATUREPOWER,SWEETSCENT
EggGroups = Grass
HatchSteps = 5120
Height = 0.3
Weight = 1.8
Color = Yellow
Shape = Head
Habitat = Grassland
Category = Seed
Pokedex = Mazah people eat it after frying them alive. Tasty.
Generation = 2
Evolutions = SUNFLORA,Item,SUNSTONE
#-------------------------------
[SUNFLORA]
Name = Munchies
Types = GRASS,FIRE
BaseStats = 75,55,55,55,125,85
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 149
EVs = SPECIAL_ATTACK,2
CatchRate = 120
Happiness = 70
Abilities = CHLOROPHYLL,SOLARPOWER
HiddenAbilities = EARLYBIRD
Moves = 0,FLAMETHROWER,1,FLOWERSHIELD,1,ABSORB,1,POUND,1,GROWTH,4,INGRAIN,7,GRASSWHISTLE,10,MEGADRAIN,13,LEECHSEED,16,RAZORLEAF,19,WORRYSEED,22,GIGADRAIN,25,BULLETSEED,28,PETALDANCE,31,MYSTICALFIRE,34,SOLARBEAM,37,FLAREBLITZ,40,SUNNYDAY,43,LEAFSTORM,43,OVERHEAT,50,PETALBLIZZARD,60,BURNUP
TutorMoves = ATTRACT,CUT,DOUBLETEAM,ENERGYBALL,FACADE,GRASSKNOT,HELPINGHAND,LIGHTSCREEN,PROTECT,RETURN,ROUND,SAFEGUARD,SLEEPTALK,SLUDGEBOMB,SOLARBEAM,SUBSTITUTE,SUNNYDAY,SWAGGER,SWORDSDANCE,FLAMETHROWER,FIREBLAST
EggGroups = Grass
HatchSteps = 5120
Height = 0.8
Weight = 8.5
Color = Yellow
Shape = Bipedal
Habitat = Grassland
Category = Sun
Pokedex = It looks unappetizing, but it makes for a great afternoon snack.
Generation = 2
#-------------------------------
[TECHUPPI]
Name = Terabies
Types = DARK
BaseStats = 45,60,45,35,40,45
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 56
EVs = ATTACK,1
CatchRate = 255
Happiness = 70
Abilities = FRISK,ANGERPOINT
HiddenAbilities = GUTS
Moves = 1,LEER,1,TACKLE,4,BITE,8,HOWL,12,LICK,16,FURYSWIPES,20,ODORSLEUTH,24,SUCKERPUNCH,28,BULKUP,32,SUBMISSION,36,DARKESTLARIAT,40,PLAYROUGH
TutorMoves = CUT,WORKUP,BULKUP,ROAR,TAUNT,DIG,HEX,BODYSLAM,ASSURANCE,SNARL,PLAYROUGH,PAYDAY
EggMoves = FIREFANG,ICEFANG,POWERTRIP,PUNISHMENT,THUNDERFANG
EggGroups = Field
HatchSteps = 5120
Height = 0.3
Weight = 5.9
Color = Blue
Shape = Quadruped
Habitat = Urban
Category = Small Dog
Pokedex = Old ladies love these adorable little scallywags, but most of us are aware that these embodiments of rage are a danger to society.
Generation = 9
Evolutions = LUPACABRA,Level,26
#-------------------------------
[LUPACABRA]
Name = Lupacabman
Types = DARK
BaseStats = 80,105,95,55,85,70
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 170
EVs = ATTACK,1,DEFENSE,1
CatchRate = 90
Happiness = 70
Abilities = HUSTLE,ANGERPOINT
HiddenAbilities = GUTS
Moves = 1,LEER,1,TACKLE,1,BITE,1,HOWL,1,DYNAMICPUNCH,1,POWERTRIP,12,LICK,16,FURYSWIPES,20,ODORSLEUTH,26,SUCKERPUNCH,32,BULKUP,38,SUBMISSION,44,DARKESTLARIAT,50,PLAYROUGH,56,PARTINGSHOT,62,CROSSCHOP
TutorMoves = CUT,WORKUP,BULKUP,ROAR,TAUNT,DIG,HEX,BODYSLAM,ASSURANCE,SNARL,PLAYROUGH,STRENGTH,CALMMIND,BRICKBREAK,FALSESWIPE,BODYPRESS,ACROBATICS,GIGAIMPACT,BRUTALSWING,SWORDSDANCE,POISONJAB,XSCISSOR,DARKPULSE,PAYDAY
EggGroups = Field
HatchSteps = 5120
Height = 1.8
Weight = 73.9
Color = Blue
Shape = Bipedal
Habitat = Urban
Category = Mange Dog
Pokedex = This one goes out to the furry community. 
Generation = 9
#-------------------------------
[ZOLUPINE]
Name = Zoluman
Types = DARK,WATER
BaseStats = 60,85,60,95,105,105
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 170
EVs = ATTACK,1,SPEED,1
CatchRate = 75
Happiness = 70
Abilities = WATERABSORB,UNNERVE
HiddenAbilities = INFILTRATOR
Moves = 0,WHIRLPOOL,1,WHIRLPOOL,1,NASTYPLOT,1,LEER,1,TACKLE,1,BITE,1,HOWL,1,FLIPTURN,1,SHADOWFORCE,12,LICK,16,FURYSWIPES,20,ODORSLEUTH,26,SUCKERPUNCH,32,SOAK,38,SNARL,44,SCALD,50,DARKPULSE,56,DESTINYBOND,62,HYDROPUMP
TutorMoves = CUT,WORKUP,BULKUP,ROAR,TAUNT,DIG,HEX,BODYSLAM,ASSURANCE,SNARL,SURF,WATERFALL,DIVE,VENOSHOCK,SWAGGER,RAINDANCE,THUNDER,REFLECT,SLUDGEBOMB,ROCKTOMB,TORMENT,LIQUIDATION,LOWSWEEP,FOCUSBLAST,SCALD,GRASSKNOT,FOULPLAY,BRUTALSWING,NASTYPLOT,DRAGONCLAW,SCREECH,UTURN,DARKPULSE,SHADOWCLAW,FORCEWAVE,PAYDAY
EggGroups = Field
HatchSteps = 5120
Height = 1.3
Weight = 52.6
Color = Blue
Shape = Quadruped
Habitat = Cave
Category = Aqua Dog
Pokedex = This one ALSO goes out to the furry community.
Generation = 9
#-------------------------------
[BUDEW]
Name = Buttdu
Types = GRASS,POISON
BaseStats = 40,30,35,55,50,70
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 56
EVs = SPECIAL_ATTACK,1
CatchRate = 255
Happiness = 70
Abilities = NATURALCURE,POISONPOINT
HiddenAbilities = LEAFGUARD
Moves = 1,ABSORB,4,GROWTH,7,WATERSPORT,10,STUNSPORE,13,MEGADRAIN,16,WORRYSEED
TutorMoves = SOLARBEAM,RAINDANCE,SUNNYDAY,SLUDGEBOMB,BULLETSEED,VENOSHOCK,ROUND,SWORDSDANCE,HEX,ENERGYBALL,GRASSKNOT,DAZZLINGGLEAM,SWAGGER,CUT,SCATTERDUST,PSYCRUSH
EggMoves = POLLENPUFF,OMINOUSWIND,SPIKES,TOXICSPIKES,LEAFSTORM
EggGroups = Undiscovered
HatchSteps = 5120
Height = 0.2
Weight = 1.2
Color = Green
Shape = Bipedal
Category = Bud
Pokedex = Buttdu dances with their butt. This dance makes Budew popular in the Mazah Region.
Generation = 4
WildItemUncommon = POISONBARB
Evolutions = M_ROSELIA,HappinessNight,
Incense = ROSEINCENSE
#-------------------------------
[M_ROSELIA]
Name = Roastedlia
Types = GRASS,GHOST
BaseStats = 50,45,50,70,80,105
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 140
EVs = SPECIAL_DEFENSE,2
CatchRate = 150
Happiness = 70
Abilities = CURSEDBODY,LEAFGUARD
HiddenAbilities = SEANCE
Moves = 1,ASTONISH,1,GROWTH,1,STUNSPORE,5,MEGADRAIN,10,MAGICALLEAF,15,HAUNT,20,FORESTSCURSE,25,LEECHSEED,30,GIGADRAIN,35,MOONLIGHT,40,SLEEPPOWDER,45,MOONBLAST,50,CHILLINGWAIL,55,DESTINYBOND,60,PETALDANCE
TutorMoves = SOLARBEAM,RAINDANCE,SUNNYDAY,SLUDGEBOMB,BULLETSEED,VENOSHOCK,ROUND,SWORDSDANCE,HEX,ENERGYBALL,GRASSKNOT,DAZZLINGGLEAM,SWAGGER,CUT,SCATTERDUST,PSYCRUSH,BODYSLAM,WILLOWISP
EggMoves = POLLENPUFF,OMINOUSWIND,SPIKES,TOXICSPIKES,LEAFSTORM
EggGroups = Fairy,Grass
HatchSteps = 5120
Height = 0.3
Weight = 1.2
Color = Black
Shape = Bipedal
Habitat = Urban
Category = Thorn
Pokedex = On certain nights in the Mazah region, Roastedlia light up the sky with their phones. 
Generation = 9
Evolutions = M_ROSERADE,Item,MOONSTONE
#-------------------------------
[M_ROSERADE]
Name = Roadrage
Types = GRASS,GHOST
BaseStats = 70,50,70,90,105,135
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 258
EVs = SPECIAL_DEFENSE,3
CatchRate = 75
Happiness = 70
Abilities = CURSEDBODY,LEAFGUARD
HiddenAbilities = SEANCE
Moves = 1,ASTONISH,1,GROWTH,1,STUNSPORE,1,MEGADRAIN,1,MAGICALLEAF,1,HAUNT,1,FORESTSCURSE,1,LEECHSEED,1,GIGADRAIN,1,MOONLIGHT,1,SLEEPPOWDER,1,MOONBLAST,1,CHILLINGWAIL,1,DESTINYBOND,1,PETALDANCE
TutorMoves = SOLARBEAM,RAINDANCE,SUNNYDAY,SLUDGEBOMB,BULLETSEED,VENOSHOCK,ROUND,SWORDSDANCE,HEX,ENERGYBALL,GRASSKNOT,DAZZLINGGLEAM,SWAGGER,CUT,SCATTERDUST,PSYCRUSH,BODYSLAM,WILLOWISP,HYPERBEAM,GIGAIMPACT,CALMMIND,TRIATTACK,TORMENT
EggGroups = Fairy,Grass
HatchSteps = 5120
Height = 0.9
Weight = 10.4
Color = Green
Shape = Bipedal
Habitat = Urban
Category = Bouquet
Pokedex = WATCH OUT! ROADRAGE BLUKCHATTING AND DRIVING! Roadrage are a danger on the roads.
Generation = 9
#-------------------------------
[EKANS]
Name = Snake
Types = POISON
BaseStats = 35,60,44,55,40,54
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 58
EVs = ATTACK,1
CatchRate = 255
Happiness = 70
Abilities = INTIMIDATE,SHEDSKIN
HiddenAbilities = UNNERVE
Moves = 1,WRAP,1,LEER,4,POISONSTING,9,BITE,12,GLARE,17,SCREECH,20,ACID,25,STOCKPILE,25,SWALLOW,25,SPITUP,28,ACIDSPRAY,33,MUDBOMB,36,GASTROACID,38,BELCH,41,HAZE,44,COIL,49,GUNKSHOT
TutorMoves = ATTRACT,BRUTALSWING,DARKPULSE,DOUBLETEAM,EARTHQUAKE,FACADE,RAINDANCE,ROCKSLIDE,ROCKTOMB,SLUDGEBOMB,STRENGTH,SUNNYDAY,SWAGGER,THIEF,TORMENT,TOXIC,VENOSHOCK,PAYDAY
EggMoves = BEATUP,DISABLE,IRONTAIL,POISONFANG,POISONTAIL,PURSUIT,SCARYFACE,SLAM,SNATCH,SPITE,SUCKERPUNCH,SWITCHEROO
EggGroups = Field,Dragon
HatchSteps = 5120
Height = 2.0
Weight = 6.9
Color = Purple
Shape = Serpentine
Habitat = Grassland
Category = Snake
Pokedex = They are stuck in this pose and need to roll to move around.
Generation = 1
Evolutions = ARBOK,Level,22
#-------------------------------
[ARBOK]
Name = Kobra
Types = POISON,DARK
BaseStats = 75,95,69,80,66,84
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 157
EVs = ATTACK,2
CatchRate = 90
Happiness = 70
Abilities = INTIMIDATE,SHEDSKIN
HiddenAbilities = STRONGJAW
Moves = 0,CRUNCH,1,CRUNCH,1,ICEFANG,1,THUNDERFANG,1,FIREFANG,1,WRAP,1,LEER,1,POISONSTING,1,BITE,4,POISONSTING,9,BITE,12,GLARE,17,SCREECH,20,ACID,27,STOCKPILE,27,SWALLOW,27,SPITUP,32,ACIDSPRAY,39,MUDBOMB,44,GASTROACID,48,JAWLOCK,51,HAZE,56,COIL,63,GUNKSHOT
TutorMoves = ATTRACT,BRUTALSWING,DARKPULSE,DOUBLETEAM,EARTHQUAKE,FACADE,POISONJAB,RAINDANCE,RETURN,ROCKSLIDE,ROCKTOMB,SLUDGEBOMB,STRENGTH,SUNNYDAY,SWAGGER,THIEF,TORMENT,TOXIC,VENOSHOCK,PAYDAY
EggGroups = Field,Dragon
HatchSteps = 5120
Height = 3.5
Weight = 65.0
Color = Purple
Shape = Serpentine
Habitat = Grassland
Category = Cobra
Pokedex = Also forever stuck in this pose, Kobra hop around on their tail end.
Generation = 1
#-------------------------------
[HOOTHOOT]
Name = TiikTook
Types = NORMAL,FLYING
BaseStats = 60,30,30,50,36,56
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 52
EVs = HP,1
CatchRate = 255
Happiness = 70
Abilities = INSOMNIA,KEENEYE
HiddenAbilities = TINTEDLENS
Moves = 1,TACKLE,1,GROWL,1,FORESIGHT,4,HYPNOSIS,7,PECK,10,CONFUSION,13,ECHOEDVOICE,16,ZENHEADBUTT,19,PSYCHOSHIFT,22,EXTRASENSORY,25,TAKEDOWN,28,REFLECT,31,AIRSLASH,34,UPROAR,37,ROOST,40,MOONBLAST,43,SYNCHRONOISE,46,DREAMEATER
TutorMoves = AERIALACE,ATTRACT,DEFOG,DOUBLETEAM,FACADE,FLY,PSYCHIC,RAINDANCE,REFLECT,STEELWING,SUNNYDAY,SWAGGER,THIEF,WORKUP,ZENHEADBUTT,PAYDAY
EggMoves = AGILITY,DEFOG,FEATHERDANCE,FEINTATTACK,HURRICANE,MEANLOOK,MIRRORMOVE,NIGHTSHADE,SKYATTACK,SUPERSONIC,WHIRLWIND,WINGATTACK
EggGroups = Flying
HatchSteps = 3840
Height = 0.7
Weight = 21.2
Color = Brown
Shape = Winged
Habitat = Forest
Category = Owl
Pokedex = Look at the time, it is time for pokeman.
Generation = 2
Evolutions = NOCTOWL,Level,25
#-------------------------------
[NOCTOWL]
Name = Watowl
Types = NORMAL,FLYING
BaseStats = 110,50,70,70,86,96
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 158
EVs = HP,2
CatchRate = 90
Happiness = 70
Abilities = INSOMNIA,KEENEYE
HiddenAbilities = TINTEDLENS
Moves = 1,DREAMEATER,1,SKYATTACK,1,TACKLE,1,GROWL,1,FORESIGHT,1,HYPNOSIS,4,HYPNOSIS,7,PECK,10,CONFUSION,13,ECHOEDVOICE,16,ZENHEADBUTT,19,PSYCHOSHIFT,23,EXTRASENSORY,27,TAKEDOWN,31,REFLECT,35,AIRSLASH,39,UPROAR,43,ROOST,47,MOONBLAST,51,SYNCHRONOISE,55,DREAMEATER,61,OBLIVIONWING
TutorMoves = AERIALACE,ATTRACT,DEFOG,DOUBLETEAM,FACADE,FLY,PSYCHIC,RAINDANCE,REFLECT,STEELWING,SUNNYDAY,SWAGGER,THIEF,WORKUP,ZENHEADBUTT,PSYSHOCK,PSYCRUSH,PAYDAY
EggGroups = Flying
HatchSteps = 3840
Height = 1.6
Weight = 40.8
Color = Brown
Shape = Winged
Habitat = Forest
Category = Owl
Pokedex = Wat time is it? Watowl helps Mazah people with time managment. 
Generation = 2
#-------------------------------
[CAFECARACHA]
Name = Cuppajoe
Types = BUG,ELECTRIC
BaseStats = 50,40,60,75,40,40
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 56
EVs = SPEED,1
CatchRate = 235
Happiness = 70
Abilities = SHELLARMOR
HiddenAbilities = ELECTRICSURGE
Moves = 1,TACKLE,1,THUNDERSHOCK,5,CHARGE,10,ROLLOUT,15,NUZZLE,20,STRUGGLEBUG,20,ELECTRICTERRAIN,25,ELECTROBALL,30,SKITTERSMACK,35,RAGEPOWDER,40,ELECTRIFY,45,BUGBUZZ,50,RISINGVOLTAGE
TutorMoves = THUNDERBOLT,THUNDER,LIGHTSCREEN,REFLECT,WORKUP,VOLTSWITCH,WILDCHARGE,THUNDERWAVE,SCATTERDUST,ENERGYBALL
EggMoves = IRONDEFENSE,DISCHARGE,AGILITY,INFESTATION
EggGroups = Bug
HatchSteps = 1240
Height = 0.2
Weight = 2.9
Color = Brown
Shape = Head
Category = Jumping Bean
Pokedex = Cuppajoe are packed with "caffeine", as a result, they keep stuttering meaningless sentances like: "Please end me" or "This world is a lie".
Generation = 9
Evolutions = FLITJITTER,Level,21
#-------------------------------
[FLITJITTER]
Name = Flappujinno
Types = BUG,ELECTRIC
BaseStats = 62,65,65,130,88,65
GenderRatio = Female50Percent
GrowthRate = Medium
BaseExp = 168
EVs = SPEED,2
CatchRate = 110
Happiness = 70
Abilities = SPEEDBOOST
HiddenAbilities = ELECTRICSURGE
Moves = 0,AIRCUTTER,1,TACKLE,1,THUNDERSHOCK,5,CHARGE,10,ROLLOUT,15,NUZZLE,20,STRUGGLEBUG,20,ELECTRICTERRAIN,27,ELECTROBALL,34,SKITTERSMACK,41,RAGEPOWDER,48,ELECTRIFY,55,BUGBUZZ,62,RISINGVOLTAGE,69,QUIVERDANCE
TutorMoves = THUNDERBOLT,THUNDER,LIGHTSCREEN,REFLECT,WORKUP,VOLTSWITCH,WILDCHARGE,THUNDERWAVE,SCATTERDUST,ENERGYBALL,AERIALACE,ACROBATICS,UTURN,FLY,DEFOG
EggGroups = Bug
HatchSteps = 1240
Height = 0.6
Weight = 8.2
Color = Brown
Shape = Winged
Category = Wired
Pokedex = Drink it...See what happens to you :)
Generation = 9
#-------------------------------
[LOTAD]
Name = Plotadapus
Types = WATER,GRASS
BaseStats = 40,30,30,30,40,50
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 44
EVs = SPECIAL_DEFENSE,1
CatchRate = 255
Happiness = 70
Abilities = SWIFTSWIM,RAINDISH
HiddenAbilities = OWNTEMPO
Moves = 1,ASTONISH,3,GROWL,6,ABSORB,9,BUBBLE,12,NATURALGIFT,15,MIST,18,MEGADRAIN,21,BUBBLEBEAM,24,NATUREPOWER,27,RAINDANCE,30,GIGADRAIN,33,ZENHEADBUTT,36,ENERGYBALL
TutorMoves = ATTRACT,BLIZZARD,DOUBLETEAM,ENERGYBALL,FACADE,GRASSKNOT,HAIL,HIDDENPOWER,ICEBEAM,PROTECT,RAINDANCE,REST,RETURN,ROUND,SCALD,SLEEPTALK,SOLARBEAM,SUBSTITUTE,SUNNYDAY,SURF,SWAGGER,SWORDSDANCE,THIEF,TOXIC,ZENHEADBUTT
EggMoves = COUNTER,FLAIL,GIGADRAIN,LEECHSEED,RAZORLEAF,SWEETSCENT,SYNTHESIS,TEETERDANCE,TICKLE,WATERGUN
EggGroups = Water1,Grass
HatchSteps = 3840
Height = 0.5
Weight = 2.6
Color = Green
Shape = Insectoid
Habitat = WatersEdge
Category = Water Weed
Pokedex = IS THAT PLOTADAPUS THE PLOTADAPUS?!
Generation = 3
WildItemUncommon = MENTALHERB
Evolutions = LOMBRE,Level,14
#-------------------------------
[LOMBRE]
Name = Plombrepus
Types = WATER,GRASS
BaseStats = 60,50,50,50,60,70
GenderRatio = Female50Percent
GrowthRate = Parabolic
BaseExp = 119
EVs = SPECIAL_DEFENSE,2
CatchRate = 120
Happiness = 70
Abilities = SWIFTSWIM,RAINDISH
HiddenAbilities = OWNTEMPO
Moves = 1,ASTONISH,3,GROWL,6,ABSORB,9,BUBBLE,12,FURYSWIPES,16,FAKEOUT,20,WATERSPORT,24,BUBBLEBEAM,28,NATUREPOWER,32,UPROAR,36,KNOCKOFF,40,ZENHEADBUTT,44,HYDROPUMP
TutorMoves = ATTRACT,BLIZZARD,BRICKBREAK,DIVE,DOUBLETEAM,ENERGYBALL,FACADE,GRASSKNOT,HAIL,HIDDENPOWER,ICEBEAM,PROTECT,RAINDANCE,REST,RETURN,ROUND,SCALD,SLEEPTALK,SOLARBEAM,STRENGTH,SUBSTITUTE,SUNNYDAY,SURF,SWAGGER,SWORDSDANCE,THIEF,TOXIC,WATERFALL,ZENHEADBUTT
EggGroups = Water1,Grass
HatchSteps = 3840
Height = 1.2
Weight = 32.5
Color = Green
Shape = Bipedal
Habitat = WatersEdge
Category = Jolly
Pokedex = They dancing, they chilling.
Generation = 3
WildItemUncommon = MENTALHERB
Evolutions = LUDICOLO,Item,WATERSTONE
#-------------------------------
[LUDICOLO]
Name = Pludipolo
Types = WATER,GRASS
